label,source_file,S1_dR,S1_abs_dR,S1_EMAi0.001,S1_EMAi0.01,S1_EMAi0.1,S1_EMAd0.001,S1_EMAd0.01,S1_EMAd0.1,S2_dR,S2_abs_dR,S2_EMAi0.001,S2_EMAi0.01,S2_EMAi0.1,S2_EMAd0.001,S2_EMAd0.01,S2_EMAd0.1,S3_dR,S3_abs_dR,S3_EMAi0.001,S3_EMAi0.01,S3_EMAi0.1,S3_EMAd0.001,S3_EMAd0.01,S3_EMAd0.1,S4_dR,S4_abs_dR,S4_EMAi0.001,S4_EMAi0.01,S4_EMAi0.1,S4_EMAd0.001,S4_EMAd0.01,S4_EMAd0.1,S5_dR,S5_abs_dR,S5_EMAi0.001,S5_EMAi0.01,S5_EMAi0.1,S5_EMAd0.001,S5_EMAd0.01,S5_EMAd0.1,S6_dR,S6_abs_dR,S6_EMAi0.001,S6_EMAi0.01,S6_EMAi0.1,S6_EMAd0.001,S6_EMAd0.01,S6_EMAd0.1,S7_dR,S7_abs_dR,S7_EMAi0.001,S7_EMAi0.01,S7_EMAi0.1,S7_EMAd0.001,S7_EMAd0.01,S7_EMAd0.1,S8_dR,S8_abs_dR,S8_EMAi0.001,S8_EMAi0.01,S8_EMAi0.1,S8_EMAd0.001,S8_EMAd0.01,S8_EMAd0.1,S9_dR,S9_abs_dR,S9_EMAi0.001,S9_EMAi0.01,S9_EMAi0.1,S9_EMAd0.001,S9_EMAd0.01,S9_EMAd0.1,S10_dR,S10_abs_dR,S10_EMAi0.001,S10_EMAi0.01,S10_EMAi0.1,S10_EMAd0.001,S10_EMAd0.01,S10_EMAd0.1,S11_dR,S11_abs_dR,S11_EMAi0.001,S11_EMAi0.01,S11_EMAi0.1,S11_EMAd0.001,S11_EMAd0.01,S11_EMAd0.1,S12_dR,S12_abs_dR,S12_EMAi0.001,S12_EMAi0.01,S12_EMAi0.1,S12_EMAd0.001,S12_EMAd0.01,S12_EMAd0.1,S13_dR,S13_abs_dR,S13_EMAi0.001,S13_EMAi0.01,S13_EMAi0.1,S13_EMAd0.001,S13_EMAd0.01,S13_EMAd0.1,S14_dR,S14_abs_dR,S14_EMAi0.001,S14_EMAi0.01,S14_EMAi0.1,S14_EMAd0.001,S14_EMAd0.01,S14_EMAd0.1,S15_dR,S15_abs_dR,S15_EMAi0.001,S15_EMAi0.01,S15_EMAi0.1,S15_EMAd0.001,S15_EMAd0.01,S15_EMAd0.1,S16_dR,S16_abs_dR,S16_EMAi0.001,S16_EMAi0.01,S16_EMAi0.1,S16_EMAd0.001,S16_EMAd0.01,S16_EMAd0.1
0,batch1.dat,15596.1621,1.868245,2.371604,2.803678,7.512213,-2.739388,-3.344671,-4.847512,15326.6914,1.768526,2.269085,2.713374,6.915721,-2.488324,-3.082212,-5.056975,2789.3831,2.754759,0.43044,0.649457,1.795029,-0.426662,-0.584313,-1.438976,2581.5686,2.680623,0.399746,0.605065,1.786704,-0.400115,-0.550743,-1.728611,685.3994,1.682904,0.122736,0.223703,0.584691,-0.138196,-0.236907,-0.781959,797.7738,1.742488,0.152483,0.218904,0.841862,-0.164646,-0.31572,-0.791447,3128.8489,3.605537,0.532422,0.763062,2.118983,-0.557197,-0.809953,-2.34413,3136.8778,3.555169,0.535883,0.761388,1.499244,-0.57148,-0.944425,-2.658358,13540.6738,1.765738,2.006883,2.519022,6.26143,-2.172101,-2.694967,-3.791499,13831.7539,1.746493,2.057165,2.391239,5.695234,-2.350776,-2.888766,-8.129869,3020.9191,2.819354,0.47452,0.723993,2.16013,-0.4679,-0.638167,-1.64365,2185.9741,2.949381,0.342575,0.51509,1.340477,-0.36103,-0.493482,-1.200617,862.7479,1.779291,0.165138,0.246473,1.358106,-0.187465,-0.416382,-1.058061,1059.7562,1.896047,0.198946,0.334017,0.815048,-0.204467,-0.345119,-0.969336,3357.1124,3.860647,0.580818,0.80683,1.729739,-0.619214,-1.071137,-3.037772,3037.039,3.972203,0.527291,0.728443,1.445783,-0.545079,-0.902241,-2.654529
0,batch1.dat,26402.0704,2.532401,5.411209,6.509906,7.658469,-4.722217,-5.817651,-7.518333,23855.7812,2.164706,4.901063,5.971392,6.978131,-4.199424,-5.22109,-7.604863,3882.9057,3.155054,0.802987,1.172245,1.570895,-0.697881,-0.944655,-1.334743,3651.0427,3.130669,0.739278,1.101765,1.428631,-0.659641,-0.915543,-1.334217,982.949,1.933877,0.233308,0.378052,0.717916,-0.225572,-0.354591,-0.748061,1162.2378,2.039431,0.278337,0.486908,0.840494,-0.271369,-0.473164,-0.718214,4332.1543,3.990162,1.002503,1.586233,1.926608,-0.913245,-1.335612,-1.773328,4387.5284,4.011519,1.009769,1.64783,1.962858,-0.944028,-1.631468,-1.925095,20553.5645,2.10887,4.266941,5.185937,6.398693,-3.636176,-4.497039,-7.464548,22540.1933,2.222146,4.621283,5.57362,6.756039,-3.986434,-4.953663,-6.561748,4240.3011,3.262893,0.887237,1.297617,1.630074,-0.768036,-1.244472,-1.419646,3079.0621,3.399659,0.649639,0.948781,1.36955,-0.598444,-0.820868,-1.081919,1237.0131,2.067927,0.305793,0.558008,0.948564,-0.289557,-0.501078,-1.191404,1459.6356,2.149242,0.361007,0.614619,0.950204,-0.327339,-0.503861,-0.838039,4685.7753,4.277604,1.080629,1.818559,2.237534,-1.004812,-1.530519,-1.994993,4176.4453,4.281373,0.980205,1.62805,1.951172,-0.889333,-1.323505,-1.749225
0,batch1.dat,42103.582,3.454189,8.198175,10.508439,11.611003,-7.668313,-9.478675,-12.230939,37562.3008,2.840403,7.386357,9.511703,12.129657,-6.689464,-8.184333,-10.196169,5476.3898,3.929721,1.132118,1.717418,2.050157,-1.052941,-1.43627,-1.956262,5140.8302,3.880357,1.054304,1.6496,1.964727,-0.995282,-1.377502,-1.844021,1409.2183,2.316449,0.335154,0.572576,0.93273,-0.337312,-0.532147,-1.011991,1647.678,2.443898,0.405582,0.725644,1.006433,-0.403554,-0.676717,-1.008518,6145.6659,4.998625,1.426344,2.407405,2.856787,-1.37707,-1.994748,-2.445191,6197.3047,4.99781,1.473118,2.545978,3.331699,-1.420663,-2.18512,-2.625092,32366.9336,2.742087,6.419288,8.29021,9.709606,-5.792984,-7.171543,-9.797253,35597.002,2.916899,6.969954,8.951225,10.413684,-6.441517,-7.914062,-9.973361,5968.8666,4.056138,1.262938,1.935885,2.346947,-1.159097,-1.791556,-2.233596,4409.1721,4.286887,0.917809,1.390353,1.810937,-0.909467,-1.254904,-1.732933,1735.0383,2.466508,0.450574,0.841068,1.808291,-0.426742,-0.711579,-1.129027,2040.1528,2.572696,0.509803,0.93263,1.248513,-0.475471,-0.730332,-1.126488,6630.1836,5.369827,1.567405,2.790448,3.279244,-1.518135,-2.384784,-2.867291,5914.6685,5.396827,1.403973,2.476956,3.039841,-1.334558,-1.993659,-2.34837
0,batch1.dat,42825.9883,3.451192,12.11394,16.266853,39.910056,-7.849409,-9.689894,-11.921704,38379.0664,2.851173,10.840889,14.566782,39.100492,-6.878915,-8.470092,-10.739835,5670.7144,3.994661,1.587322,2.963585,2.889819,-1.116192,-1.504534,-2.15971,5343.8337,3.962529,1.479765,2.653653,2.753598,-1.061584,-1.465905,-2.027846,1499.3987,2.415714,0.47623,0.834066,1.316245,-0.373295,-0.562486,-1.005683,1747.0367,2.543528,0.575862,1.04536,1.582893,-0.437584,-0.720969,-1.172276,6361.2179,5.11854,2.016031,3.5118,3.989634,-1.468832,-2.164832,-2.952224,6443.5758,5.138118,2.067199,3.618647,4.262233,-1.521618,-2.328864,-2.871851,33300.6055,2.765042,9.397436,13.022406,29.111833,-5.99902,-7.466897,-9.590399,36487.1211,2.937415,10.300845,14.504802,29.353683,-6.624663,-8.135443,-10.433171,6187.1446,4.127966,1.772427,3.242992,3.232927,-1.233289,-1.676956,-2.11083,4570.3443,4.382205,1.298156,2.334433,2.427754,-0.96475,-1.315083,-1.575122,1837.0551,2.560248,0.626115,1.226975,1.828968,-0.463871,-0.785627,-1.249903,2144.8436,2.660842,0.714324,1.322181,1.883925,-0.513716,-0.777995,-1.134804,6933.2844,5.50727,2.215701,4.04255,4.67511,-1.644751,-2.607199,-3.058086,6147.4744,5.501071,1.981933,3.569823,4.049197,-1.432205,-2.146158,-2.488957
0,batch1.dat,58151.1757,4.194839,11.455096,15.715298,17.654915,-11.083364,-13.580692,-16.407848,51975.5899,3.480866,10.409176,14.379885,15.387529,-9.54357,-11.707853,-14.370753,7483.3656,5.074172,1.5761,2.55801,3.389052,-1.515863,-2.059119,-2.494956,6995.2396,4.995555,1.474554,2.500523,2.981684,-1.436586,-2.006992,-2.42473,1976.1011,2.893531,0.480052,0.871868,1.301642,-0.487181,-0.753798,-1.628245,2286.8792,3.058936,0.581186,1.145093,1.508896,-0.582666,-0.949063,-1.270385,8474.3696,6.673105,2.025916,3.650673,4.291259,-1.985612,-2.99295,-3.44664,8547.2146,6.68909,2.078846,3.889228,4.392452,-2.073675,-3.30519,-3.792976,45212.6523,3.38421,9.083462,12.5758,13.600584,-8.326705,-10.152834,-12.30118,49670.9785,3.602189,9.905257,13.542131,14.934498,-9.292178,-12.009161,-13.677505,8128.6561,5.244599,1.762437,2.896088,3.339938,-1.674587,-2.412309,-2.787965,6086.2545,5.642596,1.293397,2.071232,2.683706,-1.316635,-1.798607,-3.026084,2388.1891,3.067174,0.632552,1.322201,1.666461,-0.611909,-1.018826,-1.770461,2784.4952,3.196657,0.71681,1.419936,1.845668,-0.663462,-1.022919,-1.602759,9179.2338,7.214645,2.23609,4.367815,4.946454,-2.249702,-3.594763,-4.18192,8158.6449,7.174334,1.993808,3.829303,4.402448,-1.930107,-2.931265,-4.088756
0,batch1.dat,79872.1308,5.553595,18.690482,27.19177,28.636972,-15.054684,-18.399695,-23.376017,69637.2754,4.365858,16.623774,24.791658,25.989573,-12.828155,-16.549555,-20.112821,9835.1174,6.299183,2.389469,3.796117,4.288415,-2.118118,-2.906302,-3.433935,9255.4179,6.238049,2.230755,3.689638,4.090581,-1.998723,-2.807461,-3.392109,2606.0369,3.490512,0.716663,1.241189,1.65961,-0.671591,-1.043806,-1.42801,3022.4085,3.711339,0.86534,1.648878,2.234066,-0.789451,-1.286708,-1.702029,11188.9991,8.323346,3.068543,5.292209,5.952296,-2.785645,-4.210229,-4.818384,11383.0917,8.409444,3.170084,5.630515,6.503255,-2.904447,-4.577134,-5.408941,61319.5254,4.253409,14.423004,21.247317,22.601927,-11.321185,-13.930309,-17.156556,67797.5839,4.607981,15.983838,23.213847,24.498189,-12.554298,-15.317321,-18.457715,10784.8729,6.575018,2.675905,4.299588,4.751535,-2.3427,-3.263856,-5.629091,8034.6098,7.032801,1.976083,3.034488,3.526779,-1.835185,-2.530747,-2.897946,3135.2399,3.69866,0.922801,1.939194,2.566183,-0.824276,-1.407632,-1.863665,3581.2419,3.801432,1.030426,1.994314,2.499493,-0.898174,-1.406994,-1.944686,12317.599,9.126387,3.407953,6.431166,7.407149,-3.151739,-5.09217,-5.657237,10731.9632,8.900291,3.002584,5.620025,6.530042,-2.688513,-4.173558,-4.808914
0,batch1.dat,94981.5859,5.872932,22.318174,32.673187,34.308656,-18.19878,-22.253267,-27.061036,82237.3906,4.791826,19.886142,29.674004,31.494643,-15.338134,-18.842302,-25.042549,11763.6746,7.182966,2.822376,4.384479,4.86946,-2.668013,-3.805841,-4.346283,11135.1424,7.077395,2.648131,4.426393,4.970171,-2.515021,-3.583348,-4.122559,3137.4044,3.976838,0.846828,1.556548,2.016268,-0.840238,-1.390487,-1.778833,3648.1385,4.225473,1.020252,2.059313,2.660308,-0.981516,-1.642684,-2.286953,13491.3383,9.429182,3.668589,6.419015,7.317818,-3.542601,-5.622684,-6.59872,13863.3439,9.558369,3.805783,6.848187,7.800004,-3.689825,-5.968822,-6.710757,73148.6308,4.703971,17.238466,25.719414,27.48377,-13.693478,-16.757599,-19.857783,80701.8926,4.987113,19.143022,27.946251,30.138077,-15.082557,-18.354497,-22.405683,13001.422,7.465825,3.17918,5.091477,5.720037,-2.955288,-4.191203,-4.860338,9607.6811,7.993631,2.349944,3.456891,3.916064,-2.308353,-3.278151,-3.778427,3784.3863,4.208613,1.076874,2.439297,3.37404,-1.020918,-1.766002,-2.232931,4224.2833,4.260557,1.189883,2.597907,3.345007,-1.11734,-1.856324,-2.591929,15106.7735,10.452707,4.130756,7.789363,8.900816,-4.020786,-6.463239,-7.132363,12925.3449,10.10324,3.604875,6.913722,7.949838,-3.407223,-5.363093,-5.870612
0,batch1.dat,108075.6269,6.064713,25.660255,38.059268,40.191974,-21.472657,-26.199885,-32.367465,93658.4727,5.424357,22.732318,34.234901,36.589871,-17.667668,-22.433893,-26.278387,13541.5728,8.382525,3.208531,5.171619,5.836406,-3.120246,-4.448414,-4.94032,12920.0123,8.020969,3.009983,4.821765,5.465376,-2.922777,-4.096956,-4.699142,3612.1445,4.529567,0.972667,1.908625,2.576447,-0.977648,-1.63818,-2.011908,4197.0498,4.704184,1.146005,2.274795,3.019108,-1.123915,-1.810561,-2.264437,15550.623,11.086588,4.242341,7.556179,8.658507,-4.150031,-6.670267,-7.636853,16133.5043,10.930175,4.360687,7.597568,9.155645,-4.271754,-6.764925,-7.392497,84127.4199,5.43727,19.926774,29.933688,31.779802,-15.870318,-20.933747,-23.931839,91696.9531,5.116772,21.566001,31.386522,33.481847,-17.80557,-22.781483,-28.051996,15193.3403,8.556785,3.622358,5.440173,6.103528,-3.447133,-4.930537,-5.394298,11070.1141,9.440263,2.679322,4.15116,4.827841,-2.688305,-3.855341,-4.40514,4343.6283,4.656264,1.200699,2.713749,3.63062,-1.154524,-1.926289,-2.417209,4807.7595,4.860622,1.358148,3.211212,4.217425,-1.278851,-2.237298,-2.931159,17815.9929,12.022409,4.82596,8.792724,10.023053,-4.771629,-7.838325,-8.45444,14926.7949,11.930814,4.169038,8.009728,9.463272,-4.029467,-6.616902,-7.203445
0,batch1.dat,121315.7675,7.118364,28.686061,42.979381,45.48218,-23.152346,-28.351092,-43.046267,104314.9746,6.027791,25.512459,39.371068,41.515299,-19.104532,-23.220528,-30.535494,15480.8656,9.373102,3.614998,5.611369,6.338824,-3.697153,-5.309095,-5.85892,14627.7208,9.023476,3.385984,5.501471,6.241143,-3.451593,-4.936634,-5.598212,4082.7827,4.951989,1.082751,2.085718,2.774945,-1.132489,-1.90264,-2.374886,4715.1862,5.184557,1.270799,2.588942,3.328608,-1.302164,-2.151708,-3.523245,17748.6353,12.468714,4.745064,8.217753,9.787246,-4.885713,-7.91023,-8.745576,18320.0794,12.349696,4.914301,8.471937,10.038728,-5.072881,-8.210557,-8.863233,94002.9082,6.005782,22.286478,34.106343,37.124056,-17.315986,-21.003235,-25.586488,103262.7676,5.902875,24.31253,35.929658,40.291112,-19.304967,-23.43965,-33.633328,17230.8005,9.657979,4.07466,6.230721,6.920663,-4.087401,-5.831561,-6.659088,12660.6886,10.519742,3.02815,4.474734,5.249192,-3.171126,-4.574772,-5.031223,4882.879,5.139976,1.331016,3.109878,4.606346,-1.349425,-2.323097,-2.753042,5394.4516,5.275126,1.479368,3.502599,4.738105,-1.472294,-2.541416,-3.048168,20301.2505,13.630299,5.448117,9.685876,11.230311,-5.649488,-9.251645,-9.986465,17089.4369,13.418815,4.686718,8.789605,10.34961,-4.741944,-7.752369,-8.58788
0,batch1.dat,133600.9805,7.806088,30.785557,46.897557,49.19876,-25.285772,-30.563264,-38.621405,114217.8242,6.585496,27.3125,42.847164,44.993877,-20.739038,-25.069132,-32.696338,17278.789,10.357104,3.880296,6.277621,7.158966,-4.236471,-6.152162,-6.816933,16310.1106,9.915118,3.620181,6.096359,7.070401,-3.939673,-5.69099,-6.344799,4520.9773,5.401456,1.164143,2.313596,2.927399,-1.275339,-2.152058,-2.552024,5221.3996,5.658784,1.34508,2.812872,3.511243,-1.462019,-2.432758,-3.045471,19767.1342,13.74441,5.1081,8.949866,10.574819,-5.577274,-9.133286,-10.023021,20467.1263,13.648861,5.26549,9.193924,10.855088,-5.794124,-9.50787,-10.337682,103360.2793,6.608673,23.85038,36.579121,38.419416,-18.840849,-22.809535,-29.028251,114002.9297,6.489845,26.040522,38.376639,40.217188,-21.077842,-25.333606,-36.770241,19290.5461,10.6736,4.367124,6.906473,7.744598,-4.6792,-6.80128,-7.37637,14135.547,11.605377,3.265231,4.995327,5.797673,-3.614346,-5.258827,-5.68987,5409.0804,5.60597,1.398132,3.379307,4.551205,-1.515846,-2.616148,-2.92708,5932.7168,5.731873,1.548923,3.791363,4.91072,-1.647406,-2.86145,-3.42111,22802.1653,15.126447,5.926029,10.116197,12.054465,-6.531589,-10.937161,-11.699235,19098.2395,14.844685,5.07843,9.17027,10.683439,-5.452696,-9.16701,-9.748478
